UTC Date/Time,Magnetic magnetic_noise, Induced Signal(dB),Average Magnetic Noise,Average Induced Signal
2019-01-05 00:02:39,-111.951,-118.476,-111.95,-118.2021
2019-01-05 00:02:43,-111.954,-118.312,-111.9515,-118.1996
2019-01-05 00:02:47,-111.954,-118.168,-111.953,-118.2062
2019-01-05 00:02:51,-111.931,-118.039,-111.9535,-118.2129
2019-01-05 00:02:55,-111.931,-118.039,-111.9541,-118.2186
2019-01-05 00:02:59,-111.903,-118.142,-111.9546,-118.226
2019-01-05 00:03:03,-111.913,-118.211,-111.9544,-118.236
2019-01-05 00:03:07,-111.974,-118.267,-111.9535,-118.2443
2019-01-05 00:03:11,-111.974,-118.267,-111.9527,-118.2493
2019-01-05 00:03:15,-111.914,-118.128,-111.9518,-118.2379
2019-01-05 00:03:19,-111.935,-118.268,-111.9513,-118.2254
2019-01-05 00:03:23,-111.974,-118.343,-111.9499,-118.2128
2019-01-05 00:03:27,-111.974,-118.343,-111.9478,-118.2057
2019-01-05 00:03:31,-111.894,-118.32,-111.9464,-118.1957
2019-01-05 00:03:35,-111.917,-118.207,-111.9451,-118.2011
2019-01-05 00:03:39,-111.955,-118.207,-111.9434,-118.2066
2019-01-05 00:03:43,-111.955,-118.207,-111.9416,-118.2117
2019-01-05 00:03:47,-111.885,-118.139,-111.9409,-118.2134
2019-01-05 00:03:51,-111.927,-118.199,-111.9405,-118.2087
2019-01-05 00:03:55,-111.943,-118.225,-111.94,-118.2059
2019-01-05 00:03:59,-111.943,-118.225,-111.9384,-118.2101
2019-01-05 00:04:03,-111.911,-118.171,-111.937,-118.1997
2019-01-05 00:04:07,-111.911,-117.967,-111.9381,-118.1901
2019-01-05 00:04:11,-111.902,-118.148,-111.9405,-118.1804
2019-01-05 00:04:15,-111.902,-118.148,-111.943,-118.1738
2019-01-05 00:04:19,-111.924,-118.245,-111.9474,-118.1728
2019-01-05 00:04:23,-111.924,-118.245,-111.9518,-118.1697
2019-01-05 00:04:27,-111.917,-118.172,-111.9568,-118.1667
2019-01-05 00:04:31,-111.918,-118.212,-111.9619,-118.1622
2019-01-05 00:04:35,-111.942,-118.212,-111.967,-118.1561
2019-01-05 00:04:39,-111.996,-118.06,-111.9721,-118.1568
2019-01-05 00:04:43,-112.004,-118.15,-111.978,-118.1603
2019-01-05 00:04:47,-112.004,-118.15,-111.9824,-118.1675
2019-01-05 00:04:51,-111.946,-118.187,-111.9861,-118.185
2019-01-05 00:04:55,-112.043,-118.187,-111.9899,-118.1877
2019-01-05 00:04:59,-112.043,-118.146,-111.9935,-118.1837
2019-01-05 00:05:03,-112.045,-118.146,-111.9972,-118.173
2019-01-05 00:05:07,-112.045,-118.049,-112.0008,-118.1579
2019-01-05 00:05:11,-111.926,-118.077,-112.0045,-118.1451
2019-01-05 00:05:15,-112.063,-118.239,-112.0083,-118.1388
2019-01-05 00:05:19,-112.063,-118.295,-112.0112,-118.1328
2019-01-05 00:05:23,-111.957,-118.316,-112.0149,-118.1344
2019-01-05 00:05:27,-111.945,-118.316,-112.0162,-118.1292
2019-01-05 00:05:31,-111.937,-118.202,-112.0171,-118.1307
2019-01-05 00:05:35,-111.999,-118.069,-112.018,-118.1308
2019-01-05 00:05:39,-111.999,-118.03,-112.017,-118.131
2019-01-05 00:05:43,-111.951,-117.942,-112.0161,-118.1252
2019-01-05 00:05:47,-111.99,-117.916,-112.0152,-118.1138
2019-01-05 00:05:51,-111.99,-118.086,-112.0137,-118.1215
2019-01-05 00:05:55,-112.022,-118.093,-112.0122,-118.1278
2019-01-05 00:05:59,-112.022,-118.093,-112.0107,-118.1124
2019-01-05 00:06:03,-111.969,-118.045,-112.0092,-118.1073
2019-01-05 00:06:07,-112.025,-118.18,-112.01,-118.1013
2019-01-05 00:06:11,-112.025,-118.19,-112.0103,-118.0953
2019-01-05 00:06:15,-111.981,-118.19,-112.009,-118.0899
2019-01-05 00:06:19,-111.937,-118.03,-112.0082,-118.0857
2019-01-05 00:06:23,-111.95,-117.917,-112.0074,-118.0885
2019-01-05 00:06:27,-112.07,-118.203,-112.006,-118.0957
2019-01-05 00:06:31,-112.07,-118.203,-112.004,-118.1039
2019-01-05 00:06:35,-112.015,-117.931,-112.0021,-118.1037
2019-01-05 00:06:39,-112.015,-118.194,-112.0017,-118.1029
2019-01-05 00:06:43,-112.004,-118.196,-112.0016,-118.1021
2019-01-05 00:06:47,-111.974,-118.196,-112.0015,-118.1048
2019-01-05 00:06:51,-111.94,-118.095,-112.0009,-118.1082
2019-01-05 00:06:55,-111.91,-117.985,-112.0003,-118.1111
2019-01-05 00:06:59,-111.922,-118.085,-111.9997,-118.1009
2019-01-05 00:07:03,-111.947,-118.085,-111.999,-118.0882
2019-01-05 00:07:07,-112.047,-118.082,-111.9982,-118.0852
2019-01-05 00:07:11,-112.047,-118.082,-111.9972,-118.0721
2019-01-05 00:07:15,-111.961,-118.077,-111.9961,-118.0629
2019-01-05 00:07:19,-111.961,-118.077,-111.9958,-118.072
2019-01-05 00:07:23,-111.99,-118.098,-111.9948,-118.0679
2019-01-05 00:07:27,-112.02,-118.248,-111.9935,-118.0553
2019-01-05 00:07:31,-112.02,-118.248,-111.9926,-118.0506
2019-01-05 00:07:35,-111.952,-117.987,-111.9925,-118.0538
2019-01-05 00:07:39,-112.01,-117.776,-111.9924,-118.0624
2019-01-05 00:07:43,-112.01,-117.856,-111.9923,-118.0595
2019-01-05 00:07:47,-111.99,-117.941,-111.9929,-118.0589
2019-01-05 00:07:51,-111.985,-118.019,-111.9934,-118.0584
2019-01-05 00:07:55,-111.968,-118.113,-111.9939,-118.0484
2019-01-05 00:07:59,-111.994,-118.113,-111.993,-118.0432
2019-01-05 00:08:03,-112.041,-117.942,-111.9906,-118.0435
2019-01-05 00:08:07,-112.041,-118.104,-111.9884,-118.0429
2019-01-05 00:08:11,-111.907,-118.158,-111.9867,-118.0281
2019-01-05 00:08:15,-111.972,-118.158,-111.9849,-118.0215
2019-01-05 00:08:19,-111.972,-118.026,-111.9841,-118.0356
2019-01-05 00:08:23,-111.938,-118.072,-111.9832,-118.0602
2019-01-05 00:08:27,-111.899,-118.072,-111.9823,-118.064
2019-01-05 00:08:31,-111.92,-117.883,-111.9822,-118.065
2019-01-05 00:08:35,-111.976,-117.973,-111.9816,-118.0622
2019-01-05 00:08:39,-111.976,-118.084,-111.9804,-118.0533
2019-01-05 00:08:43,-111.945,-118.084,-111.9798,-118.0446
2019-01-05 00:08:47,-111.971,-117.953,-111.9791,-118.0466
2019-01-05 00:08:51,-112.006,-118.116,-111.9771,-118.061
2019-01-05 00:08:55,-112.006,-118.268,-111.9756,-118.0726
2019-01-05 00:08:59,-111.921,-118.268,-111.9741,-118.0782
2019-01-05 00:09:03,-111.992,-117.932,-111.9724,-118.082
2019-01-05 00:09:07,-111.992,-117.962,-111.9707,-118.0871
2019-01-05 00:09:11,-111.976,-117.962,-111.9693,-118.0965
2019-01-05 00:09:15,-111.984,-117.937,-111.9678,-118.1168
2019-01-05 00:09:19,-111.984,-117.937,-111.9667,-118.1327
2019-01-05 00:09:23,-111.942,-117.983,-111.9668,-118.1393
2019-01-05 00:09:27,-111.928,-118.391,-111.9687,-118.1308
2019-01-05 00:09:31,-111.943,-118.391,-111.9706,-118.1363
2019-01-05 00:09:35,-111.943,-118.269,-111.9725,-118.1341
2019-01-05 00:09:39,-111.938,-118.103,-111.9719,-118.1243
2019-01-05 00:09:43,-111.877,-118.173,-111.9715,-118.1042
2019-01-05 00:09:47,-111.876,-118.26,-111.9709,-118.105
2019-01-05 00:09:51,-111.903,-118.29,-111.9704,-118.1161
2019-01-05 00:09:55,-112.014,-118.29,-111.9695,-118.1271
2019-01-05 00:09:59,-112.014,-118.217,-111.9686,-118.1362
2019-01-05 00:10:03,-111.95,-117.914,-111.9667,-118.1425
2019-01-05 00:10:07,-111.971,-118.063,-111.9651,-118.1465
2019-01-05 00:10:11,-112.058,-118.072,-111.965,-118.1301
2019-01-05 00:10:15,-112.058,-118.072,-111.9648,-118.1243
2019-01-05 00:10:19,-111.982,-117.865,-111.9647,-118.1246
2019-01-05 00:10:23,-111.982,-117.949,-111.9648,-118.1306
2019-01-05 00:10:27,-111.966,-118.183,-111.965,-118.1265
2019-01-05 00:10:31,-111.966,-118.183,-111.9688,-118.1216
2019-01-05 00:10:35,-111.945,-118.118,-111.9727,-118.1167
2019-01-05 00:10:39,-111.945,-118.063,-111.9762,-118.1118
2019-01-05 00:10:43,-111.866,-118.063,-111.9786,-118.1042
2019-01-05 00:10:47,-111.858,-118.063,-111.9789,-118.109
2019-01-05 00:10:51,-111.866,-118.275,-111.9787,-118.0907
2019-01-05 00:10:55,-111.917,-118.275,-111.9784,-118.0913
2019-01-05 00:10:59,-111.94,-118.223,-111.9798,-118.095
2019-01-05 00:11:03,-111.94,-118.091,-111.9802,-118.1091
2019-01-05 00:11:07,-112.02,-118.163,-111.9799,-118.1002
2019-01-05 00:11:11,-112.071,-118.192,-111.9796,-118.0886
2019-01-05 00:11:15,-112.071,-118.192,-111.9802,-118.0797
2019-01-05 00:11:19,-112.045,-118.065,-111.9808,-118.0741
2019-01-05 00:11:23,-111.99,-118.009,-111.9821,-118.0738
2019-01-05 00:11:27,-111.949,-117.697,-111.9831,-118.0735
2019-01-05 00:11:31,-111.948,-118.084,-111.9844,-118.0727
2019-01-05 00:11:35,-111.952,-118.147,-111.9856,-118.063
2019-01-05 00:11:39,-112.009,-118.147,-111.9869,-118.0533
2019-01-05 00:11:43,-112.044,-117.771,-111.9881,-118.0423
2019-01-05 00:11:47,-112.044,-117.95,-111.9891,-118.0379
2019-01-05 00:11:51,-111.977,-118.006,-111.9861,-118.0269
2019-01-05 00:11:55,-111.972,-118.006,-111.9831,-118.0179
2019-01-05 00:11:59,-111.95,-118.057,-111.9801,-118.0089
2019-01-05 00:12:03,-111.965,-118.057,-111.9766,-118.0051
2019-01-05 00:12:07,-111.965,-118.047,-111.9732,-118.0042
2019-01-05 00:12:11,-111.947,-118.081,-111.9699,-118.0239
2019-01-05 00:12:15,-111.947,-118.081,-111.9667,-118.0299
2019-01-05 00:12:19,-111.973,-118.003,-111.9635,-118.0328
2019-01-05 00:12:23,-111.973,-118.003,-111.9612,-118.0261
2019-01-05 00:12:27,-111.96,-117.943,-111.9599,-118.0387
2019-01-05 00:12:31,-111.96,-118.012,-111.9585,-118.0495
2019-01-05 00:12:35,-111.91,-118.012,-111.9586,-118.0597
2019-01-05 00:12:39,-111.939,-117.99,-111.9587,-118.0698
2019-01-05 00:12:43,-111.944,-117.99,-111.9591,-118.0636
2019-01-05 00:12:47,-111.951,-118.091,-111.9598,-118.0581
2019-01-05 00:12:52,-111.951,-118.204,-111.9605,-118.0647
2019-01-05 00:12:56,-111.944,-118.204,-111.9603,-118.0696
2019-01-05 00:13:00,-111.921,-118.014,-111.9601,-118.0579
2019-01-05 00:13:04,-111.935,-118.023,-111.959,-118.0625
2019-01-05 00:13:08,-111.935,-118.167,-111.9581,-118.0747
2019-01-05 00:13:12,-111.979,-118.209,-111.9564,-118.09
2019-01-05 00:13:16,-112.036,-118.209,-111.9549,-118.0966
2019-01-05 00:13:20,-112.036,-117.932,-111.954,-118.1104
2019-01-05 00:13:24,-112.036,-117.948,-111.9535,-118.1254
2019-01-05 00:13:28,-111.961,-118.179,-111.9554,-118.1366
2019-01-05 00:13:32,-111.961,-118.179,-111.9584,-118.1381
2019-01-05 00:13:36,-111.907,-117.846,-111.9614,-118.1332
2019-01-05 00:13:40,-111.907,-118.096,-111.9644,-118.1285
2019-01-05 00:13:44,-111.942,-118.247,-111.9674,-118.1334
2019-01-05 00:13:48,-111.942,-118.247,-111.9693,-118.1373
2019-01-05 00:13:52,-111.928,-118.144,-111.9709,-118.1349
2019-01-05 00:13:56,-111.862,-118.289,-111.9712,-118.1304
2019-01-05 00:14:00,-111.898,-118.289,-111.9714,-118.1304
2019-01-05 00:14:04,-112.009,-118.215,-111.9713,-118.147
2019-01-05 00:14:08,-112.009,-118.12,-111.9708,-118.1627
2019-01-05 00:14:12,-111.989,-118.106,-111.9702,-118.156
2019-01-05 00:14:16,-112.004,-118.112,-111.9706,-118.1435
2019-01-05 00:14:20,-112.004,-118.112,-111.9714,-118.1506
2019-01-05 00:14:24,-111.984,-118.1,-111.974,-118.1453
2019-01-05 00:14:28,-111.956,-118.119,-111.9758,-118.1399
2019-01-05 00:14:32,-111.959,-118.119,-111.9778,-118.1369
2019-01-05 00:14:36,-111.959,-118.21,-111.9798,-118.1391
2019-01-05 00:14:40,-111.964,-118.263,-111.9811,-118.125
2019-01-05 00:14:44,-112.048,-118.263,-111.9834,-118.111
2019-01-05 00:14:48,-112.048,-118.043,-111.9833,-118.1017
2019-01-05 00:14:52,-111.977,-117.929,-111.9825,-118.0975
2019-01-05 00:14:56,-111.968,-117.99,-111.9817,-118.1023
2019-01-05 00:15:00,-111.968,-117.99,-111.9809,-118.1113
2019-01-05 00:15:04,-111.958,-118.139,-111.9817,-118.1203
2019-01-05 00:15:08,-111.994,-118.187,-111.9834,-118.1209
2019-01-05 00:15:12,-111.994,-118.187,-111.9853,-118.1218
2019-01-05 00:15:16,-111.944,-118.008,-111.9873,-118.1248
2019-01-05 00:15:20,-111.886,-118.008,-111.989,-118.1233
2019-01-05 00:15:24,-111.855,-118.029,-111.9879,-118.1133
2019-01-05 00:15:28,-111.988,-118.036,-111.9868,-118.1028
2019-01-05 00:15:32,-111.988,-118.202,-111.9857,-118.1033
2019-01-05 00:15:36,-112.023,-118.292,-111.9846,-118.1103
2019-01-05 00:15:40,-112.023,-118.292,-111.9826,-118.1142
2019-01-05 00:15:44,-111.954,-118.112,-111.9799,-118.127
2019-01-05 00:15:48,-112.019,-118.137,-111.978,-118.1324
2019-01-05 00:15:52,-112.054,-118.18,-111.9766,-118.1336
2019-01-05 00:15:56,-112.054,-118.18,-111.9752,-118.1392
2019-01-05 00:16:00,-111.948,-118.063,-111.9738,-118.1537
2019-01-05 00:16:04,-111.877,-118.052,-111.9714,-118.1463
2019-01-05 00:16:08,-111.927,-118.052,-111.969,-118.1485
2019-01-05 00:16:12,-111.945,-118.069,-111.9666,-118.16
2019-01-05 00:16:16,-111.945,-118.069,-111.9642,-118.1696
2019-01-05 00:16:20,-111.913,-118.246,-111.9634,-118.1746
2019-01-05 00:16:24,-111.913,-118.246,-111.9611,-118.1724
2019-01-05 00:16:28,-111.939,-118.212,-111.9585,-118.1813
2019-01-05 00:16:32,-111.939,-118.298,-111.956,-118.189
2019-01-05 00:16:36,-111.94,-118.298,-111.953,-118.1914
2019-01-05 00:16:40,-111.94,-117.861,-111.9497,-118.1958
2019-01-05 00:16:44,-111.94,-118.073,-111.9496,-118.206
2019-01-05 00:16:48,-111.983,-118.266,-111.9499,-118.205
2019-01-05 00:16:52,-112.049,-118.393,-111.9503,-118.2097
2019-01-05 00:16:56,-112.049,-118.393,-111.9507,-118.2199
2019-01-05 00:17:00,-111.924,-118.249,-111.9514,-118.2302
2019-01-05 00:17:04,-111.924,-118.29,-111.9547,-118.2286
2019-01-05 00:17:08,-111.972,-118.29,-111.9597,-118.227
2019-01-05 00:17:12,-111.972,-118.227,-111.9646,-118.2274
2019-01-05 00:17:16,-111.964,-118.268,-111.9695,-118.2301
2019-01-05 00:17:20,-111.953,-118.268,-111.9744,-118.2352
2019-01-05 00:17:24,-111.735,-118.033,-111.9793,-118.2623
2019-01-05 00:17:28,-111.799,-118.144,-111.9826,-118.2751
2019-01-05 00:17:32,-111.834,-118.275,-111.9858,-118.2783
2019-01-05 00:17:36,-111.936,-118.275,-111.989,-118.2694
2019-01-05 00:17:40,-112.05,-118.213,-111.9888,-118.2712
2019-01-05 00:17:44,-112.05,-118.213,-111.9886,-118.2802
2019-01-05 00:17:48,-112.045,-118.22,-111.9884,-118.281
2019-01-05 00:17:52,-112.006,-118.352,-111.9882,-118.2756
2019-01-05 00:17:56,-112.038,-118.402,-111.9884,-118.279
2019-01-05 00:18:00,-112.038,-118.402,-111.9891,-118.2802
2019-01-05 00:18:04,-111.898,-118.329,-111.9899,-118.2887
2019-01-05 00:18:08,-111.912,-118.329,-111.9907,-118.3106
2019-01-05 00:18:12,-111.912,-118.216,-111.991,-118.327
2019-01-05 00:18:16,-112.004,-118.429,-111.9913,-118.3217
2019-01-05 00:18:20,-112.004,-118.429,-111.9941,-118.3184
2019-01-05 00:18:24,-111.96,-118.306,-111.9943,-118.3336
2019-01-05 00:18:28,-111.968,-118.183,-111.9929,-118.3489
2019-01-05 00:18:32,-111.968,-118.293,-111.9903,-118.3618
2019-01-05 00:18:36,-111.948,-118.293,-111.9876,-118.3606
2019-01-05 00:18:40,-111.959,-118.437,-111.9849,-118.355
2019-01-05 00:18:44,-111.959,-118.472,-111.9823,-118.3394
2019-01-05 00:18:48,-112.01,-118.472,-111.9811,-118.3469
2019-01-05 00:18:52,-112.01,-118.169,-111.9797,-118.3572
2019-01-05 00:18:56,-111.904,-118.209,-111.9783,-118.3731
2019-01-05 00:19:00,-111.955,-118.518,-111.9787,-118.3765
2019-01-05 00:19:04,-112.021,-118.518,-111.9791,-118.3696
2019-01-05 00:19:08,-112.021,-118.477,-111.9795,-118.3624
2019-01-05 00:19:12,-111.95,-118.329,-111.9799,-118.3676
2019-01-05 00:19:16,-111.982,-118.289,-111.9804,-118.3746
2019-01-05 00:19:20,-111.985,-118.091,-111.9808,-118.3816
2019-01-05 00:19:24,-111.985,-118.478,-111.982,-118.3829
2019-01-05 00:19:28,-111.976,-118.535,-111.9854,-118.3824
2019-01-05 00:19:32,-111.976,-118.535,-111.9893,-118.3715
2019-01-05 00:19:36,-111.914,-118.496,-111.9932,-118.3753
2019-01-05 00:19:40,-111.949,-118.292,-111.9946,-118.3847
2019-01-05 00:19:44,-111.949,-118.162,-111.9959,-118.3787
2019-01-05 00:19:48,-111.977,-118.287,-111.9963,-118.3652
2019-01-05 00:19:52,-111.977,-118.433,-111.9979,-118.3506
2019-01-05 00:19:56,-111.925,-118.433,-111.9994,-118.3465
2019-01-05 00:20:01,-111.991,-118.462,-112.0006,-118.3527
2019-01-05 00:20:05,-112.084,-118.462,-112.0009,-118.3689
2019-01-05 00:20:09,-112.084,-118.254,-112.0019,-118.3642
2019-01-05 00:20:13,-112.05,-118.247,-112.0033,-118.3507
2019-01-05 00:20:17,-112.037,-118.397,-112.0046,-118.3371
2019-01-05 00:20:21,-112.009,-118.397,-112.0053,-118.3276
2019-01-05 00:20:25,-111.975,-118.249,-112.0067,-118.3289
2019-01-05 00:20:29,-112.017,-118.184,-112.0086,-118.3374
2019-01-05 00:20:33,-112.017,-118.246,-112.0105,-118.3407
2019-01-05 00:20:37,-112.015,-118.414,-112.0123,-118.3395
2019-01-05 00:20:41,-111.991,-118.414,-112.0142,-118.3382
2019-01-05 00:20:45,-111.991,-118.384,-112.0153,-118.3298
2019-01-05 00:20:49,-111.987,-118.265,-112.0146,-118.3192
2019-01-05 00:20:53,-111.955,-118.265,-112.0138,-118.3234
2019-01-05 00:20:57,-112.003,-118.304,-112.012,-118.332
2019-01-05 00:21:01,-112.014,-118.318,-112.0099,-118.3376
2019-01-05 00:21:05,-112.014,-118.333,-112.0079,-118.3432
2019-01-05 00:21:09,-111.935,-118.353,-112.007,-118.3481
2019-01-05 00:21:13,-112.022,-118.408,-112.0062,-118.3422
2019-01-05 00:21:17,-112.022,-118.408,-112.0053,-118.3263
2019-01-05 00:21:21,-111.954,-118.294,-112.0039,-118.3091
2019-01-05 00:21:25,-111.892,-118.25,-112.0035,-118.2919
2019-01-05 00:21:29,-112.0,-118.338,-112.0025,-118.2791
2019-01-05 00:21:33,-112.036,-118.419,-112.0022,-118.2766
2019-01-05 00:21:37,-112.036,-118.509,-112.0019,-118.2741
2019-01-05 00:21:41,-111.996,-118.509,-112.0023,-118.266
2019-01-05 00:21:45,-111.948,-118.347,-112.002,-118.255
2019-01-05 00:21:49,-111.982,-118.066,-112.0023,-118.2433
2019-01-05 00:21:53,-111.982,-117.927,-112.0026,-118.2292
2019-01-05 00:21:57,-112.001,-118.071,-112.0031,-118.2024
2019-01-05 00:22:01,-112.001,-118.071,-112.0035,-118.18
2019-01-05 00:22:05,-111.957,-118.126,-112.004,-118.1675
2019-01-05 00:22:09,-111.913,-118.216,-112.0038,-118.1572
2019-01-05 00:22:13,-111.913,-118.216,-112.0037,-118.1378
2019-01-05 00:22:17,-111.997,-118.142,-112.004,-118.1144
2019-01-05 00:22:21,-111.998,-118.098,-112.0045,-118.087
2019-01-05 00:22:25,-112.043,-118.098,-112.005,-118.0673
2019-01-05 00:22:29,-112.043,-118.072,-112.0053,-118.0558
2019-01-05 00:22:33,-112.02,-117.871,-112.0057,-118.0488
2019-01-05 00:22:37,-112.02,-117.961,-112.0063,-118.0485
2019-01-05 00:22:41,-112.023,-118.044,-112.0076,-118.0332
2019-01-05 00:22:45,-112.023,-118.044,-112.0089,-118.02
2019-01-05 00:22:49,-112.006,-117.95,-112.0102,-118.0158
2019-01-05 00:22:53,-112.006,-117.95,-112.0107,-118.007
2019-01-05 00:22:57,-111.973,-117.961,-112.0112,-117.9975
2019-01-05 00:23:01,-111.973,-118.116,-112.01,-117.9963
2019-01-05 00:23:05,-111.978,-118.116,-112.0089,-117.9973
2019-01-05 00:23:09,-112.008,-117.926,-112.0066,-117.9929
2019-01-05 00:23:13,-112.032,-117.921,-112.0044,-117.9898
2019-01-05 00:23:17,-112.032,-117.764,-112.0017,-117.9986
2019-01-05 00:23:21,-112.012,-117.808,-111.9989,-118.0058
2019-01-05 00:23:25,-112.007,-118.041,-111.9962,-118.0089
2019-01-05 00:23:29,-112.007,-118.041,-111.9936,-118.0105
2019-01-05 00:23:33,-111.975,-118.026,-111.9913,-118.0058
2019-01-05 00:23:37,-111.97,-118.118,-111.9902,-117.9998
2019-01-05 00:23:41,-111.955,-118.118,-111.9891,-117.9849
2019-01-05 00:23:45,-111.968,-118.01,-111.9881,-117.9568
2019-01-05 00:23:49,-111.968,-118.01,-111.9881,-117.9471
2019-01-05 00:23:53,-111.975,-118.048,-111.9879,-117.9522
2019-01-05 00:23:57,-111.988,-118.105,-111.9879,-117.9576
2019-01-05 00:24:01,-111.988,-118.105,-111.9878,-117.9686
2019-01-05 00:24:05,-111.944,-118.076,-111.9876,-117.982
2019-01-05 00:24:09,-111.921,-117.857,-111.9874,-117.9837
2019-01-05 00:24:13,-111.943,-117.829,-111.987,-117.9835
2019-01-05 00:24:17,-111.943,-117.662,-111.9866,-117.9841
2019-01-05 00:24:21,-111.984,-117.556,-111.9871,-117.9749
2019-01-05 00:24:25,-112.006,-117.922,-111.9875,-117.964
2019-01-05 00:24:29,-112.044,-118.028,-111.9879,-117.9655
2019-01-05 00:24:33,-112.044,-118.028,-111.989,-117.974
2019-01-05 00:24:37,-112.016,-117.983,-111.9905,-117.9805
2019-01-05 00:24:41,-112.004,-118.076,-111.9912,-117.9822
2019-01-05 00:24:45,-111.977,-118.076,-111.992,-117.9838
2019-01-05 00:24:49,-111.952,-118.038,-111.9928,-117.9853
2019-01-05 00:24:53,-111.999,-118.038,-111.9939,-117.9967
2019-01-05 00:24:57,-111.999,-117.933,-111.9948,-118.0043
2019-01-05 00:25:01,-111.959,-117.9,-111.9958,-118.0225
2019-01-05 00:25:05,-111.971,-118.039,-111.9967,-118.0513
2019-01-05 00:25:09,-111.983,-118.18,-111.9967,-118.0637
2019-01-05 00:25:13,-111.983,-118.18,-111.9967,-118.0708
2019-01-05 00:25:17,-112.071,-118.137,-111.9982,-118.0715
2019-01-05 00:25:21,-112.071,-118.137,-111.9999,-118.0763
2019-01-05 00:25:25,-112.002,-118.107,-112.0016,-118.0764
2019-01-05 00:25:29,-111.968,-118.084,-112.0033,-118.0767
2019-01-05 00:25:33,-111.984,-117.982,-112.0037,-118.0759
2019-01-05 00:25:37,-111.984,-118.025,-112.0042,-118.0768
2019-01-05 00:25:41,-111.997,-118.132,-112.0059,-118.0829
2019-01-05 00:25:45,-112.04,-118.171,-112.0075,-118.0748
2019-01-05 00:25:49,-112.04,-118.171,-112.0092,-118.0617
2019-01-05 00:25:53,-112.007,-118.041,-112.0097,-118.0514
2019-01-05 00:25:57,-112.007,-118.078,-112.0103,-118.0429
2019-01-05 00:26:01,-112.036,-118.08,-112.0116,-118.0366
2019-01-05 00:26:05,-112.04,-118.08,-112.0129,-118.0284
2019-01-05 00:26:09,-112.04,-118.024,-112.0119,-118.0243
2019-01-05 00:26:13,-111.94,-118.055,-112.0103,-117.9051
2019-01-05 00:26:17,-111.932,-118.055,-112.0083,-117.9206
2019-01-05 00:26:21,-111.924,-117.739,-112.0065,-117.9343
2019-01-05 00:26:25,-112.01,-117.776,-112.006,-117.9448
2019-01-05 00:26:29,-112.016,-117.974,-112.0053,-117.9638
2019-01-05 00:26:33,-112.087,-118.011,-112.0061,-117.9827
2019-01-05 00:26:37,-112.087,-118.011,-112.0068,-118.0022
2019-01-05 00:26:41,-111.953,-117.973,-112.0074,-118.0043
2019-01-05 00:26:45,-107.964,-114.173,-112.0079,-118.0112
2019-01-05 00:26:49,-109.655,-115.819,-112.0087,-118.0271
